Gamma	T/Tc	Delta_h	Delta_e	TildesTotal
0.0	0.6650421226375555	-0.9513811547483055	0.5600896330673141	"[[ 1.04789091e+00, 5.60089633e-01,-9.51381155e-01],
 [ 3.14367273e+00, 5.60089633e-01,-9.51381155e-01],
 [ 5.23945454e+00, 5.60089633e-01,-9.51381155e-01],
 ...,
 [ 4.30411455e+03, 5.60089633e-01,-9.51381155e-01],
 [ 6.57448567e+03, 5.60089633e-01,-9.51381155e-01],
 [ 1.02861528e+04, 5.60089633e-01,-9.51381155e-01]]"
0.0	0.6526362753278353	-0.9640080955721022	0.5665039821620258	"[[ 1.02834331e+00, 5.66503982e-01,-9.64008096e-01],
 [ 3.08502994e+00, 5.66503982e-01,-9.64008096e-01],
 [ 5.14171657e+00, 5.66503982e-01,-9.64008096e-01],
 ...,
 [ 4.22382462e+03, 5.66503982e-01,-9.64008096e-01],
 [ 6.45184372e+03, 5.66503982e-01,-9.64008096e-01],
 [ 1.00942726e+04, 5.66503982e-01,-9.64008096e-01]]"
0.0	0.6402304280181151	-0.9761291400259121	0.5726044168448945	"[[ 1.00879572e+00, 5.72604417e-01,-9.76129140e-01],
 [ 3.02638715e+00, 5.72604417e-01,-9.76129140e-01],
 [ 5.04397859e+00, 5.72604417e-01,-9.76129140e-01],
 ...,
 [ 4.14353468e+03, 5.72604417e-01,-9.76129140e-01],
 [ 6.32920176e+03, 5.72604417e-01,-9.76129140e-01],
 [ 9.90239235e+03, 5.72604417e-01,-9.76129140e-01]]"
0.0	0.627824580708395	-0.9877624216805605	0.5784043962571171	"[[ 9.89248121e-01, 5.78404396e-01,-9.87762422e-01],
 [ 2.96774436e+00, 5.78404396e-01,-9.87762422e-01],
 [ 4.94624061e+00, 5.78404396e-01,-9.87762422e-01],
 ...,
 [ 4.06324475e+03, 5.78404396e-01,-9.87762422e-01],
 [ 6.20655981e+03, 5.78404396e-01,-9.87762422e-01],
 [ 9.71051211e+03, 5.78404396e-01,-9.87762422e-01]]"
0.0	0.6154187333986748	-0.9989244301967869	0.5839163978324079	"[[ 9.69700526e-01, 5.83916398e-01,-9.98924430e-01],
 [ 2.90910158e+00, 5.83916398e-01,-9.98924430e-01],
 [ 4.84850263e+00, 5.83916398e-01,-9.98924430e-01],
 ...,
 [ 3.98295482e+03, 5.83916398e-01,-9.98924430e-01],
 [ 6.08391785e+03, 5.83916398e-01,-9.98924430e-01],
 [ 9.51863188e+03, 5.83916398e-01,-9.98924430e-01]]"
0.0	0.6030128860889546	-1.009630184062561	0.5891520268729411	"[[ 9.50152930e-01, 5.89152027e-01,-1.00963018e+00],
 [ 2.85045879e+00, 5.89152027e-01,-1.00963018e+00],
 [ 4.75076465e+00, 5.89152027e-01,-1.00963018e+00],
 ...,
 [ 3.90266488e+03, 5.89152027e-01,-1.00963018e+00],
 [ 5.96127590e+03, 5.89152027e-01,-1.00963018e+00],
 [ 9.32675164e+03, 5.89152027e-01,-1.00963018e+00]]"
0.0	0.5906070387792345	-1.0198933801742969	0.5941221110522507	"[[ 9.30605334e-01, 5.94122111e-01,-1.01989338e+00],
 [ 2.79181600e+00, 5.94122111e-01,-1.01989338e+00],
 [ 4.65302667e+00, 5.94122111e-01,-1.01989338e+00],
 ...,
 [ 3.82237495e+03, 5.94122111e-01,-1.01989338e+00],
 [ 5.83863395e+03, 5.94122111e-01,-1.01989338e+00],
 [ 9.13487140e+03, 5.94122111e-01,-1.01989338e+00]]"
0.0	0.5782011914695143	-1.0297265244253528	0.5988367823615156	"[[ 9.11057738e-01, 5.98836782e-01,-1.02972652e+00],
 [ 2.73317321e+00, 5.98836782e-01,-1.02972652e+00],
 [ 4.55528869e+00, 5.98836782e-01,-1.02972652e+00],
 ...,
 [ 3.74208502e+03, 5.98836782e-01,-1.02972652e+00],
 [ 5.71599199e+03, 5.98836782e-01,-1.02972652e+00],
 [ 8.94299116e+03, 5.98836782e-01,-1.02972652e+00]]"
0.0	0.5657953441597942	-1.0391410467547204	0.6033055485576906	"[[ 8.91510142e-01, 6.03305549e-01,-1.03914105e+00],
 [ 2.67453043e+00, 6.03305549e-01,-1.03914105e+00],
 [ 4.45755071e+00, 6.03305549e-01,-1.03914105e+00],
 ...,
 [ 3.66179508e+03, 6.03305549e-01,-1.03914105e+00],
 [ 5.59335004e+03, 6.03305549e-01,-1.03914105e+00],
 [ 8.75111092e+03, 6.03305549e-01,-1.03914105e+00]]"
0.0	0.5533894968500739	-1.048147403561171	0.6075373558148355	"[[ 8.71962547e-01, 6.07537356e-01,-1.04814740e+00],
 [ 2.61588764e+00, 6.07537356e-01,-1.04814740e+00],
 [ 4.35981273e+00, 6.07537356e-01,-1.04814740e+00],
 ...,
 [ 3.58150515e+03, 6.07537356e-01,-1.04814740e+00],
 [ 5.47070808e+03, 6.07537356e-01,-1.04814740e+00],
 [ 8.55923068e+03, 6.07537356e-01,-1.04814740e+00]]"
